cluster,field,academic_rank
10.0,การแนะแนวและจิตวิทยาการศึกษา,2
10.0,จิตวิทยา,23
10.0,จิตวิทยาการปรึกษา,1
10.0,จิตวิทยาการศึกษา,3
10.0,จิตวิทยาการศึกษาและการแนะแนว,2
10.0,จิตวิทยาการศึกษาและจิตวิทยาการแนะแนว,1
10.0,จิตวิทยาการแนะแนว,1
10.0,จิตวิทยาสังคม,1
10.0,จิตวิทยาแนะแนว,1
10.0,จิตวิทยาและการแนะแนว,6
10.0,จิตเวชศาสตร์,34
10.0,จิตเวชศาสตร์เด็กและวัยรุ่น,1
10.0,จิตเวชเด็กและวัยรุ่น,1
10.0,พฤติกรรมศาสตร์และจิตเวชศาสตร์,1
10.0,พฤติกรรมศาสตร์และสุขศึกษา,1
10.0,สุขภาพจิตและการพยาบาลจิตเวช,1
10.0,สุขศึกษาและพฤติกรรมศาสตร์,3
10.0,แนะแนวและจิตวิทยาการศึกษา,1
11.0,การประเมินผลและวิจัยการศึกษา,2
11.0,การประเมินผลและวิจัยทางการศึกษา,1
11.0,การวัดผล ประเมินผล และวิจัยทางการศึกษา,1
11.0,การวัดผล ประเมินผลการศึกษา วิจัย และสถิติการศึกษา,1
11.0,การวัดผลและการประเมินผลการศึกษา,3
11.0,การวัดผลและประเมินผลการศึกษา,2
11.0,การวัดผลและวิจัยการศึกษา,1
11.0,การวัดเเละประเมินผลการศึกษา,1
11.0,การวัดและการประเมินผลการศึกษา,4
11.0,การวัดและประเมินผล,1
11.0,การวัดและประเมินผลการศึกษา,3
11.0,การวัดและประเมินผลทางการศึกษา,1
11.0,การวิจัยและประเมินผล,1
11.0,การวิจัยและประเมินผลการศึกษา,1
11.0,การวิจัยและวัดผลการศึกษา,1
11.0,การวิเคราะห์เชิงสถิติ,1
11.0,การศึกษานอกระบบ (การวางแผน การจัดการและการประเมินผล),1
11.0,ทดสอบวัดผลและวิจัย,1
11.0,ทฤษฎีการวัดและประเมินผลการศึกษา,1
11.0,ประเมินผลและวิจัยการศึกษา,1
11.0,ประเมินผลและวิจัยทางการศึกษา,3
11.0,วิจัยธุรกิจเเละการวิเคราะห์เชิงปริมาณ,1
11.0,วิจัยและประเมินผลการศึกษา,2
11.0,วิจัยและสถิติ,1
11.0,สถิติ วิจัยและการประเมินผล,1
11.0,สถิติประยุกต์,12
11.0,สถิติวิจัยและวัดผล,1
12.0,การใส่ฟันปลอม,1
12.0,ทันตกรรมจัดฟัน,22
12.0,ทันตกรรมชุมชน,10
12.0,ทันตกรรมทั่วไป,4
12.0,ทันตกรรมบดเคี้ยว,3
12.0,ทันตกรรมบูรณะ,2
12.0,ทันตกรรมประดิษฐ์,16
12.0,"ทันตกรรมประดิษฐ์,ทันตวัสดุศาสตร์",1
12.0,ทันตกรรมสำหรับเด็ก,11
12.0,ทันตกรรมหัตถการ,9
12.0,ทันตกรรมเด็ก,1
12.0,ทันตกรรมโรงพยาบาล,1
12.0,ทันตพยาธิวิทยา,6
12.0,ทันตรังสีวิทยา,3
12.0,ทันตรังสีวินิจฉัย,3
12.0,ทันตสาธารณสุข,1
12.0,ทันตแพทยศาสตร์,6
12.0,ปริทันตวิทยา,13
12.0,วิทยาการวินิจฉัยโรคช่องปาก,2
12.0,วิทยาเอ็นโดดอนต์และทันตกรรมหัตถการ,1
12.0,วินิจฉัยโรคช่องปาก,4
12.0,อายุรศาสตร์ช่องปาก,2
12.0,เวชศาสตร์ช่องปาก,7
13.0,การออกแบบอุตสาหกรรม,2
13.0,ครุศาสตร์ศิลปอุตสาหกรรม,2
13.0,ครุศาสตร์อุตสาหกรรม,8
13.0,ธุรกิจพาณิชยนาวี,1
13.0,บริหารอุตสาหกรรม,2
13.0,วิศวกกรมอุตสาหการ,1
13.0,ศิลปอุตสาหกรรม,2
13.0,สุขศาสตร์อุตสาหกรรมและความปลอดภัย,1
13.0,ออกแบบผลิตภัณฑ์อุตสาหกรรม,3
13.0,ออกแบบอุตสาหกรรม,1
13.0,อุตสาหกรรม,1
13.0,อุตสาหกรรมการบริการ,2
13.0,อุตสาหกรรมการบริหาร,1
13.0,อุตสาหกรรมท่องเที่ยว,1
13.0,อุตสาหกรรมศึกษา,10
13.0,อุตสาหกรรมไฟฟ้า,1
13.0,อุตสาหการ,2
13.0,เทคโนโลยีออกแบบผลิตภัณฑ์อุตสาหกรรม,1
14.0,ทฤษฎีเศรษฐศาสตร์,1
14.0,สาขาวิชาเศรษฐศาสตร์,2
14.0,เศรษฐศาสตร์,156
14.0,เศรษฐศาสตร์การเกษตร,1
14.0,เศรษฐศาสตร์การเงิน,2
14.0,เศรษฐศาสตร์ทรัพยากร,1
14.0,เศรษฐศาสตร์ทรัพยากรธรรมชาติ,1
14.0,เศรษฐศาสตร์ทรัพยากรมนุษย์,2
14.0,เศรษฐศาสตร์ธุรกิจ,2
