Column1,academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
2856,รองศาสตราจารย์,ดร. วิเชียร ชุติมาสกุล,Wichian Chutimaskul,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,เทคโนโลยีสารสนเทศ,204,25,199,6,23,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2857,รองศาสตราจารย์,ดร. วิเชียร ฝอยพิกุล,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,ปฐพีวิทยา,,,,0,,ปริญญาเอก,ข้าราชการ
2858,รองศาสตราจารย์,ดร. วิเชียร ริมพณิชยกิจ,Vichien Rimphanitchayakit,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,Mahachulalongkornrajavidyalaya University,ชีวเคมี,1132,35,792,20,55,ปริญญาเอก,ข้าราชการ
2859,ศาสตราจารย์,ดร. วิเชียร เปรมชัยสวัสดิ์,Wichian Premchaiswadi,มหาวิทยาลัยสยาม,Siam University,วิศวกรรมคอมพิวเตอร์,571,129,377,12,60,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
2860,รองศาสตราจารย์,ดร. วิโรจน์ กนกศิลปธรรม,Wirojne Kanoksilapatham,มหาวิทยาลัยศิลปากร,Silapakorn University,จุลชีววิทยา,73,9,71,5,13,ปริญญาเอก,ข้าราชการ
2861,รองศาสตราจารย์,ดร. วิโรจน์ ขลิบสุวรรณ,Wirote Khlibsuwan,มหาวิทยาลัยขอนแก่น,Khon Kaen University,นิเวศวิทยาของแมลง,1,2,1,1,2,ปริญญาเอก,ข้าราชการ
2862,รองศาสตราจารย์,ดร. วิโรจน์ ชัยธรรม,,มหาวิทยาลัยนครพนม,Nakhon Phanom University,วิศวกรรมโยธา,,,,,,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2863,รองศาสตราจารย์,ดร. วิโรจน์ บุญญภิญโญ,Virote Boonyapinyo,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,Architecture and marine,272,16,228,5,14,ปริญญาเอก,ข้าราชการ
2864,รองศาสตราจารย์,ดร. วิโรจน์ บุญอำนวยวิทยา,Virote Boonamnuayvitaya,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,วิศวกรรมเคมี,723,27,686,13,22,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2865,รองศาสตราจารย์,ดร. วิโรจน์ ภัทรจินดา,Virote Pattarajinda,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สัตวศาสตร์,236,23,229,8,55,ปริญญาเอก,ข้าราชการ
2866,รองศาสตราจารย์,ดร. วิโรจน์ ลิ่มตระการ,Wiroj Limtrakarn,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,86,13,84,6,17,ปริญญาเอก,ข้าราชการ
