"academic_rank","thai_db_name","scopus_name","thai_affiliation","eng_affiliation","field","citation_count","doc_count","cited_by_count","h_index","co_author_count","highest_edu","employment_type","field_group","funded_by","missing_scopus","rank_i","passed"
"prof","ดร. รัศมีดารา หุ่นสวัสดิ์","","มหาวิทยาลัยมหิดล","Mahidol University","ฟิสิกส์",NA,NA,NA,NA,NA,"ปริญญาเอก","ต่ออายุราชการ","natural_science","government",TRUE,3,0
"asso_prof","ดร. ราชู พันธ์ฉลาด","","มหาวิทยาลัยเทคโนโลยีมหานคร","Mahanakorn University of Technology","วิศวกรรมโทรคมนาคม",NA,NA,NA,1,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","engineering","private_university",TRUE,1,0
"asso_prof","ดร. ราตรี ธันวารชร","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","ภาษาไทย (การใช้ภาษาไทย,ภาษาศาสตร์,ภาษาไทย)",NA,NA,NA,NA,NA,"ปริญญาเอก","ต่ออายุราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. ราเชนทร์ ชินทยารังสรรค์","","สถาบันบัณฑิตพัฒนบริหารศาสตร์","National Institute of Development Administration","เศรษฐศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"prof","ดร. รื่นฤทัย สัจจพันธุ์","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","วรรณคดีและวรรณกรรมไทย",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,3,0
"asso_prof","ดร. รุ่งระวี วีระเวสส์","","มหาวิทยาลัยหอการค้าไทย","University of the Thai Chamber of Commerce","เศรษฐศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","social_science","private_university",TRUE,1,0
"asso_prof","ดร. รุ่งรัตน์ ชัยสำเร้จ","","มหาวิทยาลัยหอการค้าไทย","University of the Thai Chamber of Commerce","การประชาสัมพันธ์",NA,NA,NA,1,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","liberal_arts","private_university",TRUE,1,0
"asso_prof","ดร. รุ่งรัศมี บุญดาว","","มหาวิทยาลัยอุบลราชธานี","Ubon Ratchathani University","ระบบสารสนเทศเพื่อการจัดการ",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. รุ่งแสง อรุณไพโรจน์","","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","จิตวิทยาการศึกษาและการแนะแนว",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. รุ่งโรจน์ ธรรมรุ่งเรือง","","มหาวิทยาลัยศิลปากร","Silapakorn University","-",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","unknown","gov_university",TRUE,1,0
"asso_prof","ดร. รุ่งโรจน์ พุ่มริ้ว","","มหาวิทยาลัยวงษ์ชวลิตกุล","Vongchavalitkul University","-",NA,NA,NA,NA,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","unknown","private_university",TRUE,1,0
"asso_prof","ดร. ฤตินันท์ สมุทร์ทัย","","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","ประเมินผลและวิจัยการศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. ฤทธิ์ วัฒนชัยยิ่งเจริญ","","มหาวิทยาลัยศรีนครินทรวิโรฒ","Srinakharinwirot University","เภสัชศาสตร์",NA,NA,NA,0,NA,"ปริญญาเอก","ข้าราชการ","medicine","government",TRUE,1,0
"asso_prof","ดร. ลติตา ฤกษ์สำราญ","","มหาวิทยาลัยรังสิต","Rangsit University","-",NA,NA,NA,NA,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","unknown","private_university",TRUE,1,0
"asso_prof","ดร. ละออทิพย์ ชนะชัย","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","ฟิสิกส์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. ลักขณา สริวัฒน์","","มหาวิทยาลัยมหาสารคาม","Mahasarakham University","จิตวิทยา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. ลักษณวัต ปาละรัตน์","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","ปรัชญา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. ลักษณา คล้ายแก้ว","","มหาวิทยาลัยรังสิต","Rangsit University","นิเทศศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","liberal_arts","private_university",TRUE,1,0
"asso_prof","ดร. ลักษณา อินทร์กลับ","","มหาวิทยาลัยคริสเตียน","Christian University of Thailand","พยาบาลศาสตร์, สรีรวิทยา, โภชนศาสตร์",NA,NA,NA,0,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","medicine","private_university",TRUE,1,0
"asso_prof","ดร. ลัดดา กิติวิภาต","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","ศึกษาศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. ลัดดา วงศ์พายัพกุล","","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","เทคโนโลยีเภสัชกรรม",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","medicine","government",TRUE,1,0
"asso_prof","ดร. ลัดดา วัจนะสาริกากุล","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","วิทยาการจัดการ",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. ลือชัย จุลาสัย","","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","เศรษฐศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วชิระ วิชชุวรนันท์","","มหาวิทยาลัยราชภัฏกำแพงเพชร","Kamphaeng Phet Rajabhat University","ศึกษาศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. วชิระ อินทร์อุดม","","มหาวิทยาลัยขอนแก่น","Khon Kaen University","เทคโนโลยีการศึกษา",NA,NA,NA,1,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. วนิดา สัจพันโรจน์","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","บริหารรัฐกิจ",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วนิดา เปาอินทร์","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","-",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","unknown","government",TRUE,1,0
"asso_prof","ดร. วรนุช แหยมแสง","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","ศึกษาศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. วรพล พรหมิกบุตร","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","สังคมวิทยา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วรพิทย์ มีมาก","","มหาวิทยาลัยศรีนครินทรวิโรฒ","Srinakharinwirot University","รัฐประศาสนศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วรรณชนก จันทชุม","","มหาวิทยาลัยขอนแก่น","Khon Kaen University","การวิจัย",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"prof","ดร. วรรณทิพา รอดแรงค้า","","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","การศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,3,0
"asso_prof","ดร. วรรณธรรม กาญจนสุวรรณ","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","รัฐศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วรรณวิภา ปสันธนาทร","","มหาวิทยาลัยมหิดล","Mahidol University","สังคมศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","social_science","gov_university",TRUE,1,0
"asso_prof","ดร. วรรณวิภา ไตลังคะ","","มหาวิทยาลัยปทุมธานี","Pathumthani University","รัฐประศาสนศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","อาจารย์มหาวิทยาลัยเอกชน","social_science","private_university",TRUE,1,0
"asso_prof","ดร. วรรณา มุสิก","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","ชีววิทยา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. วรรณา แสงอร่ามเรือง","","จุฬาลงกรณ์มหาวิทยาลัย","Chulalongkorn University","ภาษาเยอรมัน (การสอนภาษาเยอรมัน)",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","liberal_arts","gov_university",TRUE,1,0
